"","pid","gendermale","dispatch.Dispatch","qg10Yes","qn4003Yes","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","age","qg12","qg1001","qg901","qg702","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qu802","qu702","w01","qn201_b_1","qn202"
"27","110064101",1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0860184993584251,2.69471837512551,-0.0650179347128633,0.982872020874568,5.90328233888754,0.649292608072888,1.62350176788745,-0.379564562524518,0.0772374791239092,-1.27820740988515,-0.428701792797434,0.549440804473446,0.800369525947352,-0.838369465383228,0.547638507330438,-0.82145974324658,0.962009631165578
"28","110067101",0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.429217944147957,4.53083619736891,6.17370650450992,2.97399982578694,-0.219983314179562,-2.45227038307683,-3.30496440124605,-0.379564562524518,-1.18675999669753,0.779136809288359,0.981159605525227,1.38726438652133,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"29","110069103",1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.171891239942822,0.171367882271006,0.226511244690071,0.982872020874568,0.109224516630498,0.649292608072888,0.391385225604079,-0.379564562524518,1.34123495494534,-0.0438008783810463,0.51120580608434,0.130529013449506,-0.801146206710037,-0.838369465383228,1.254733436645,1.84332280176323,-1.59167257871837
"30","110078101",1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.03061864578679,0.333995460812564,0.576346259973591,-0.193703500210014,-0.351666446503585,0.649292608072888,0.391385225604079,-0.379564562524518,-1.608092488638,1.19060565312306,1.45111340496611,0.549440804473446,-0.000388340381342474,-0.838369465383228,0.547638507330438,1.84332280176323,0.962009631165578
"31","110078104",0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.601254942864807,-0.295530649670887,-0.356547114115797,-0.193703500210014,0.109224516630498,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,1.45111340496611,0.130529013449506,-0.801146206710037,-0.838369465383228,0.547638507330438,1.84332280176323,-0.862049090180097
"32","110111103",0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.000145758774028044,-0.610293704912613,0.634652095854178,-0.356613956975572,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,-0.765427504757047,0.367667965453656,0.51120580608434,-2.38294173269414,0.800369525947352,-0.838369465383228,0.547638507330438,-0.82145974324658,-1.59167257871837
"33","110114103",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,-1.28794534999193,0.333995460812564,-0.327394196175504,1.34489525813136,-0.351666446503585,0.649292608072888,0.391385225604079,2.00296855140412,-0.765427504757047,-1.27820740988515,1.45111340496611,1.38726438652133,0.800369525947352,-0.838369465383228,0.547638507330438,1.84332280176323,-1.59167257871837
"34","110124101",1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0860184993584251,1.90781073702119,1.80076881346591,1.34489525813136,0.306749215116533,1.68314693845613,1.62350176788745,-0.379564562524518,1.34123495494534,1.19060565312306,-0.898655592238321,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,-0.0600933018152066,0.962009631165578
"35","110124102",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-0.257472462979163,0.596298006847336,1.21771045466005,-0.374715118838411,-0.0224586156935262,0.649292608072888,1.62350176788745,-0.379564562524518,-1.608092488638,1.19060565312306,-0.898655592238321,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"36","110165102",1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.944745905202395,1.90781073702119,-0.648076293518731,2.82919053088422,-0.351666446503585,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,0.51120580608434,1.38726438652133,-0.801146206710037,0.29422575472174,0.547638507330438,-0.0600933018152066,0.962009631165578
"37","110754501",1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.858581647069942,-0.0594583582395929,-0.87255376165899,-0.284209309524213,0.635957045926592,0.649292608072888,0.391385225604079,-0.379564562524518,1.34123495494534,-1.27820740988515,-0.898655592238321,-0.707294568598374,-0.000388340381342474,0.29422575472174,-0.866551351298694,-0.82145974324658,0.962009631165578
"38","111065501",1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,-0.772708906485545,-0.0594583582395929,-0.0941708526531567,-0.46522092815261,0.635957045926592,-1.41841605269359,-0.840731316679297,-0.379564562524518,-0.765427504757047,1.19060565312306,1.45111340496611,1.38726438652133,0.800369525947352,-0.838369465383228,0.547638507330438,-0.440776522530893,0.962009631165578
"39","111230551",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.772708906485545,0.333995460812564,-0.239935442354624,-0.284209309524213,-0.351666446503585,1.68314693845613,0.391385225604079,-0.379564562524518,0.0772374791239092,0.367667965453656,-0.898655592238321,0.549440804473446,0.800369525947352,1.42682097482671,-0.159456421984128,-0.82145974324658,-1.59167257871837
"40","115986501",1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.772708906485545,-0.321760904274364,0.0224408191080168,-0.103197690895815,-0.351666446503585,-1.41841605269359,-0.840731316679297,-0.379564562524518,0.0772374791239092,-0.0438008783810463,0.0412520066434532,-0.288382777574434,-0.000388340381342474,1.42682097482671,-0.159456421984128,-0.0600933018152066,-0.497237345910962
"41","120007101",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0.0860184993584251,0.0821850166191837,0.926181275257112,0.711354592931973,-0.0224586156935262,-1.41841605269359,-2.07284785896267,-0.379564562524518,-2.02942498057848,1.19060565312306,1.45111340496611,1.38726438652133,-0.000388340381342474,-0.838369465383228,1.254733436645,-0.82145974324658,0.962009631165578
"42","120008101",1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1.45998234870878,0.0716929147777928,2.09229799286885,1.88793011401656,0.635957045926592,0.649292608072888,0.391385225604079,-0.379564562524518,-0.344095012816569,0.779136809288359,-0.428701792797434,-0.288382777574434,-0.801146206710037,-0.838369465383228,1.254733436645,1.84332280176323,0.962009631165578
"43","120008103",0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,-0.600963425316751,1.38320564495165,3.84147306928645,2.79298820715854,19.0715955712899,-0.384561722310352,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.455269722215749,-0.428701792797434,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,-0.862049090180097
"44","120009102",0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,-0.858581647069942,0.596298006847336,-0.397361199232208,-0.103197690895815,-0.549191144989621,-0.384561722310352,-0.840731316679297,-0.379564562524518,0.498569971064387,0.367667965453656,0.0412520066434532,1.38726438652133,0.800369525947352,-0.460837725348238,1.254733436645,-0.82145974324658,-0.497237345910962
"45","120013101",0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.343636721111616,0.858600552882107,4.71606060749525,4.60310439344252,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,-0.455269722215749,0.51120580608434,0.549440804473446,-0.000388340381342474,-0.838369465383228,1.96182836595957,-0.82145974324658,0.232386142627308
"46","120020101",0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1.45998234870878,-0.87784230186808,0.477226338976594,0.530342974303575,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,0.498569971064387,-0.866738566050452,-0.898655592238321,-0.707294568598374,0.800369525947352,-0.838369465383228,1.254733436645,1.84332280176323,0.962009631165578
"47","120026101",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.773000424033601,0.701219025261245,2.67535635167472,4.24108115618572,0.635957045926592,-0.384561722310352,-0.840731316679297,-0.379564562524518,-0.344095012816569,-0.455269722215749,0.0412520066434532,-0.288382777574434,0.800369525947352,-0.838369465383228,1.254733436645,0.32058991890048,-0.497237345910962
"48","120026102",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.773000424033601,-0.342745107957146,0.109899572928897,0.620848783617774,-0.15414174801755,-0.384561722310352,-0.840731316679297,-0.379564562524518,0.0772374791239092,-0.866738566050452,-0.428701792797434,-0.707294568598374,-0.801146206710037,0.671757494756729,0.547638507330438,1.84332280176323,-0.862049090180097
"49","120029102",1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.0860184993584251,-0.295530649670887,-0.385700032056091,-0.46522092815261,-0.0224586156935262,-1.41841605269359,-0.840731316679297,-0.379564562524518,-0.344095012816569,-0.866738566050452,-0.898655592238321,-1.54511815064626,0.800369525947352,-0.838369465383228,-0.159456421984128,-0.440776522530893,0.962009631165578
"50","120031103",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,-0.686836165901148,0.0716929147777928,0.343122916451244,0.439837164989377,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,-0.765427504757047,1.19060565312306,0.981159605525227,0.968352595497386,0.800369525947352,-0.838369465383228,1.254733436645,1.84332280176323,-0.497237345910962
"51","120034103",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.600963425316751,-0.111918867446547,-0.0212885578024232,-0.30593070375962,-0.351666446503585,-0.384561722310352,-0.840731316679297,-0.379564562524518,1.34123495494534,-0.866738566050452,0.51120580608434,0.549440804473446,0.800369525947352,-0.838369465383228,1.254733436645,-0.82145974324658,-1.59167257871837
"52","120039101",0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.171599722394766,-0.584063450309136,-0.239935442354624,-0.284209309524213,0.635957045926592,-0.384561722310352,0.391385225604079,2.00296855140412,-0.344095012816569,0.367667965453656,0.0412520066434532,-0.288382777574434,-0.000388340381342474,-0.0833059853132493,0.547638507330438,-0.82145974324658,-0.862049090180097
"53","120046102",1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.14696427338395,-0.547341093864268,0.226511244690071,-0.50142325187829,-0.15414174801755,-1.41841605269359,1.62350176788745,2.00296855140412,0.498569971064387,-0.866738566050452,-0.898655592238321,-0.288382777574434,-0.000388340381342474,-0.838369465383228,-0.866551351298694,1.84332280176323,0.962009631165578
"54","120046103",0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,-0.772708906485545,-0.688984468723045,-0.239935442354624,-0.374715118838411,-0.351666446503585,1.68314693845613,1.62350176788745,-0.379564562524518,-1.608092488638,-0.866738566050452,0.51120580608434,0.549440804473446,0.800369525947352,-0.838369465383228,1.254733436645,-0.0600933018152066,-0.862049090180097
"55","120051103",0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1.20207260940753,-0.295530649670887,-0.0941708526531567,-0.46522092815261,-0.0224586156935262,0.649292608072888,0.391385225604079,-0.379564562524518,0.0772374791239092,1.19060565312306,1.45111340496611,1.38726438652133,0.800369525947352,-0.838369465383228,-0.159456421984128,-0.0600933018152066,-0.862049090180097
