"","X","pid","age","gendermale","dispatch.Dispatch","qg12","qg10Yes","qg1001","qg901","qg702","qn4003Yes","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","qu802","qu702","w01","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","qn201_b_1","qn202"
"22","22","110050103",1.00169738118332,1,0,-545.645454545454,"1",22.5937888198758,263.699100572363,-1177.9655596556,"0","3","3","0","0","4","5",-0.70615983030267,"0","1","0","0","0","1","0","0","0","0","0","3","7","5","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"23","23","110051104",-4.99830261881668,0,0,-8545.64545454545,"1",-277.406211180124,-236.300899427637,-927.965559655597,"1","3","4","0","5","10","8",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","5","0","0","1","0","0","0",-0.159057795046139,2.50870786516854
"24","24","110060102",31.0016973811833,0,0,-42545.6454545455,"0",342.593788819876,-206.300899427637,-1127.9655596556,"0","3","4","0","2","8","3",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","0","5","7","4","0","0","0","0","0","0",0.840942204953861,-1.49129213483146
"25","25","110060103",1.00169738118332,0,1,31454.3545454545,"1",222.593788819876,163.699100572363,1372.0344403444,"0","4","4","0","3","10","10",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","0","5","1","6","0","0","0","0","0","0",-1.15905779504614,-3.49129213483146
"26","26","110062531",-5.99830261881668,0,0,-21745.6454545455,"1",-135.406211180124,-189.300899427637,-1327.9655596556,"0","4","4","0","2","10","8",1.38727780991276,"0","1","0","0","1","0","0","0","0","1","0","5","1","5","0","0","0","0","1","0",-2.15905779504614,-3.49129213483146
"27","27","110064101",1.00169738118332,1,0,101454.354545455,"1",22.5937888198758,663.699100572363,8372.0344403444,"1","4","5","0","5","4","6",0.549902753826586,"0","0","0","1","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"28","28","110067101",-4.99830261881668,0,0,171454.354545455,"1",2022.59378881988,1563.69910057236,372.034440344403,"0","1","1","0","2","9","9",1.38727780991276,"0","0","1","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"29","29","110069103",2.00169738118332,1,0,5254.35454545455,"1",-17.4062111801242,463.699100572363,-127.965559655597,"1","4","4","0","5","6","8",0.1312152257835,"0","0","1","0","0","0","1","0","0","1","1","3","1","7","0","0","0","0","0","0",4.84094220495386,-4.49129213483146
"30","30","110078101",12.0016973811833,1,0,11454.3545454545,"0",1522.59378881988,-186.300899427637,-1127.9655596556,"1","4","4","0","1","10","10",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","0","4","1","5","0","1","0","0","0","0",4.84094220495386,2.50870786516854
"31","31","110078104",7.00169738118332,0,0,-12545.6454545455,"1",-217.406211180124,-186.300899427637,-427.965559655596,"1","4","4","0","5","10","10",0.1312152257835,"0","1","0","0","0","0","1","0","0","1","0","3","1","6","0","0","0","0","0","0",4.84094220495386,-2.49129213483146
"32","32","110111103",0.00169738118331963,0,0,-8045.64545454545,"0",-77.4062111801242,-236.300899427637,-627.965559655597,"1","4","4","0","3","8","8",-2.38090994247501,"0","1","0","0","0","0","1","0","0","1","1","5","1","6","0","0","0","0","0","0",-2.15905779504614,-4.49129213483146
"33","33","110114103",-14.9983026188167,0,0,11454.3545454545,"0",-43.4062111801242,663.699100572363,-627.965559655597,"0","4","4","1","3","4","10",1.38727780991276,"0","0","1","0","0","1","0","0","0","1","1","5","1","6","0","0","0","0","0","0",4.84094220495386,-4.49129213483146
"34","34","110124101",1.00169738118332,1,0,71454.3545454546,"1",522.593788819876,663.699100572363,-127.965559655597,"0","5","5","0","8","10","5",-0.70615983030267,"0","1","0","0","0","1","0","0","0","1","1","5","1","7","0","0","0","0","0","0",-0.159057795046139,2.50870786516854
"35","35","110124102",-2.99830261881668,0,0,21454.3545454545,"1",322.593788819876,-286.300899427637,-627.965559655597,"0","4","5","0","1","10","5",-0.70615983030267,"0","1","0","0","0","0","0","0","0","1","1","5","1","7","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"36","36","110165102",11.0016973811833,1,0,71454.3545454546,"0",22.5937888198758,1483.69910057236,372.034440344403,"0","4","4","0","5","10","8",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","3","4","6","0","0","1","0","0","0",-0.159057795046139,2.50870786516854
"37","37","110754501",-9.99830261881668,1,0,-3545.64545454545,"1",-127.406211180124,-236.300899427637,372.034440344403,"0","4","4","0","8","4","5",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","1","4","4","4","1","0","0","0","0","0",-2.15905779504614,2.50870786516854
"38","38","111065501",-8.99830261881668,1,0,-3545.64545454545,"0",262.593788819876,-336.300899427637,-827.965559655597,"0","2","3","0","3","10","10",1.38727780991276,"0","1","0","0","0","1","0","0","0","1","1","5","1","6","0","1","0","0","0","0",-1.15905779504614,2.50870786516854
"39","39","111230551",-8.99830261881668,1,0,11454.3545454545,"0",-17.4062111801242,-296.300899427637,-1327.9655596556,"0","5","4","0","5","8","5",0.549902753826586,"0","1","0","0","0","0","0","1","0","1","0","5","7","5","0","0","0","0","0","0",-2.15905779504614,-4.49129213483146
"40","40","115986501",-8.99830261881668,1,0,-13545.6454545455,"1",-87.4062111801242,-136.300899427637,-1127.9655596556,"1","2","3","0","5","7","7",-0.287472302259585,"0","1","0","0","0","0","0","1","0","1","1","4","7","5","0","0","0","0","0","0",-0.159057795046139,-1.49129213483146
"41","41","120007101",1.00169738118332,1,0,1854.35454545455,"1",222.593788819876,313.699100572363,-1127.9655596556,"1","2","2","0","0","10","10",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","4","1","7","0","0","1","0","1","0",-2.15905779504614,2.50870786516854
"42","42","120008101",17.0016973811833,1,0,1454.35454545455,"1",622.593788819876,963.699100572363,372.034440344403,"1","4","4","0","4","9","6",-0.287472302259585,"0","1","0","0","1","0","0","0","0","1","1","3","1","7","0","0","0","0","0","0",4.84094220495386,2.50870786516854
"43","43","120008103",-6.99830261881668,0,0,51454.3545454545,"1",1222.59378881988,1463.69910057236,28372.0344403444,"0","3","4","0","5","6","6",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","1","0","0","0",-2.15905779504614,-2.49129213483146
"44","44","120009102",-9.99830261881668,0,1,21454.3545454545,"1",-231.406211180124,-136.300899427637,-1127.9655596556,"0","3","3","0","6","8","7",1.38727780991276,"0","1","0","0","0","0","1","0","0","1","1","5","2","7","0","0","0","0","0","0",-2.15905779504614,-1.49129213483146
"45","45","120013101",4.00169738118332,0,1,31454.3545454545,"1",1522.59378881988,2463.69910057236,1872.0344403444,"1","4","4","0","5","6","8",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","1","4","1","8","0","0","0","0","0","0",-2.15905779504614,0.50870786516854
"46","46","120020101",17.0016973811833,0,0,-34745.6454545455,"0",122.593788819876,-226.300899427637,-1127.9655596556,"1","4","4","0","6","5","5",-0.70615983030267,"0","1","0","0","1","0","0","0","0","1","1","5","1","7","0","0","0","0","0","0",4.84094220495386,2.50870786516854
"47","47","120026101",9.00169738118332,0,0,25454.3545454545,"1",822.593788819876,2263.69910057236,372.034440344403,"1","3","3","0","4","6","7",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","1","0","0","0","0","0",0.840942204953861,-1.49129213483146
"48","48","120026102",9.00169738118332,1,0,-14345.6454545455,"1",-57.4062111801242,263.699100572363,-1027.9655596556,"1","3","3","0","5","5","6",-0.70615983030267,"0","1","0","0","0","0","1","0","0","1","1","3","5","6","0","0","0","0","0","0",4.84094220495386,-2.49129213483146
"49","49","120029102",1.00169738118332,1,0,-12545.6454545455,"0",-242.406211180124,-536.300899427637,-627.965559655597,"0","2","3","0","4","5","5",-1.54353488638884,"0","1","0","0","0","0","0","1","0","1","1","5","3","5","0","0","0","0","0","0",-1.15905779504614,2.50870786516854
"50","50","120031103",-7.99830261881668,0,0,1454.35454545455,"1",22.5937888198758,163.699100572363,372.034440344403,"1","4","4","0","3","10","9",0.968590281869671,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",4.84094220495386,-1.49129213483146
"51","51","120034103",-6.99830261881668,0,0,-5545.64545454546,"0",-177.406211180124,-248.300899427637,-1127.9655596556,"0","3","3","0","8","5","8",0.549902753826586,"0","1","0","0","0","0","0","0","0","1","0","5","1","7","1","0","0","0","0","0",-2.15905779504614,-4.49129213483146
"52","52","120039101",-1.99830261881668,0,1,-23545.6454545455,"1",-177.406211180124,-236.300899427637,372.034440344403,"1","3","4","1","4","8","7",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","0","4","3","6","0","0","0","0","0","0",-2.15905779504614,-2.49129213483146
"53","53","120046102",25.0016973811833,1,0,-18545.6454545455,"1",2.59378881987578,63.699100572363,-627.965559655597,"1","2","5","1","6","5","5",-0.287472302259585,"0","1","0","0","0","0","1","0","0","0","1","4","1","4","0","0","0","0","0","0",4.84094220495386,2.50870786516854
"54","54","120046103",-8.99830261881668,0,1,-27545.6454545455,"0",-115.406211180124,-286.300899427637,-1127.9655596556,"0","5","5","0","1","5","8",0.549902753826586,"0","1","0","0","0","1","0","0","0","1","1","5","1","7","0","0","0","0","0","0",-0.159057795046139,-2.49129213483146
"55","55","120051103",-13.9983026188167,0,0,-12545.6454545455,"0",-327.406211180124,-336.300899427637,-1127.9655596556,"0","4","4","0","5","10","10",1.38727780991276,"0","1","0","0","0","1","0","0","0","1","1","5","1","5","0","0","0","0","0","0",-0.159057795046139,-2.49129213483146
"56","56","120056103",-9.99830261881668,1,0,1454.35454545455,"1",-247.406211180124,-236.300899427637,-1527.9655596556,"0","4","4","0","0","7","9",0.1312152257835,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-0.159057795046139,2.50870786516854
